thickness,x,y
376.3209537418,0,0
384.583909461,63.0678207532,30.3718617382
381.3958098075,5.231106551,69.8042658027
372.9235787143,-57.8367142021,39.4324040645
367.1121490323,-63.0678207532,-30.3718617382
370.5197916019,-5.231106551,-69.8042658027
379.3786581587,57.8367142021,-39.4324040645
384.2670814036,126.1356415063,-60.7437234765
391.9322494157,135.6708200721,34.5460356766
392.2859726793,81.7241141129,113.6713208002
385.6958915057,-10.4622131021,139.6085316054
372.642208409,-97.7531545321,100.2213588964
362.4801647734,-139.3043085512,13.9394985234
358.9577353854,-115.6734284042,-78.8648081289
363.7251253855,-37.91766554,-134.767394573
373.6230185516,57.5801944383,-127.6108193236
383.4709868637,126.1356415063,-60.7437234765
