Cassette: ,ETH_NALD_012_630_RI_49PTS
COLLECTION DATE/TIME: ,12/1/2014  12:12:58
PROCESS DATE/TIME: ,12/1/2014  12:12:58
EQUIPMENT: ,
OPERATOR: ,
SHIFT: ,
MACHINE TYPE: ,SpectraFx 100 with Dual FIMS Thin Film Measurement System



WAFER ID,"HF07754021",
LOT ID,"NMT_QNALD105_630AM5-027",
Cassette,Right,
SLOT,21,
STATUS,"",
DATA TYPE,SE,
RECIPE,"BRT_NALD_012_630_RI_49PTS",
RCP CNT,1,
MEAS SET,2L_NITALD630C(60)/OX10 Copy,
MATERIAL,"! NITRIDE ALD 630C",
SITE,1,
RESULT TYPE,2nd Thickness,2nd RI @ 633.0nm,GOF ,
MEAN,  129.7189,1.9661,0.9370,
MIN,  128.9487,1.9594,0.9358,
MAX,  130.8142,1.9733,0.9384,
% STDDEV,  0.4228,  0.1338,  0.0601,
STDDEV,    0.5484,0.0026,0.0006,
3 % STDDEV,  1.2684,  0.4013,  0.1803,
3 STDDEV,    1.6453,0.0079,0.0017,
RANGE,    1.8655,0.0138,0.0026,
Site #,Value,Value,Value, X , Y ,
1,  130.8142,1.9657,0.9368,  0.0000,  0.0000,
2,  130.5932,1.9673,0.9368, -0.0001, 49.0000,
3,  130.5662,1.9671,0.9362,-34.6483, 34.6480,
4,  130.5441,1.9688,0.9369,-49.0000, -0.0001,
5,  130.5534,1.9687,0.9369,-34.6480,-34.6483,
6,  130.5767,1.9672,0.9364,  0.0001,-49.0000,
7,  130.5238,1.9682,0.9359, 34.6483,-34.6480,
8,  130.6034,1.9658,0.9367, 49.0000,  0.0001,
9,  130.5963,1.9650,0.9368, 34.6480, 34.6483,
10,  130.0278,1.9654,0.9374, -0.0003, 98.0000,
11,  130.0028,1.9660,0.9373,-37.5034, 90.5401,
12,  130.0258,1.9673,0.9383,-69.2967, 69.2962,
13,  130.0068,1.9674,0.9375,-90.5404, 37.5026,
14,  129.9740,1.9676,0.9369,-98.0000, -0.0004,
15,  129.9898,1.9689,0.9366,-90.5401,-37.5034,
16,  129.9327,1.9733,0.9363,-69.2962,-69.2967,
17,  129.9431,1.9680,0.9364,-37.5026,-90.5404,
18,  129.8830,1.9675,0.9366,  0.0004,-98.0000,
19,  129.8849,1.9673,0.9370, 37.5034,-90.5401,
20,  129.8727,1.9643,0.9367, 69.2968,-69.2962,
21,  129.8829,1.9652,0.9368, 90.5404,-37.5026,
22,  129.9220,1.9657,0.9361, 98.0000,  0.0004,
23,  129.9465,1.9647,0.9375, 90.5401, 37.5034,
24,  130.0156,1.9628,0.9368, 69.2961, 69.2968,
25,  130.0439,1.9647,0.9368, 37.5026, 90.5404,
26,  129.2492,1.9664,0.9366, -0.0006,147.0000,
27,  129.2622,1.9629,0.9384,-38.0470,141.9910,
28,  129.4518,1.9645,0.9368,-73.5004,127.3055,
29,  129.4427,1.9660,0.9375,-103.9450,103.9443,
30,  129.3889,1.9666,0.9366,-127.3060, 73.4996,
31,  129.2672,1.9671,0.9376,-141.9913, 38.0458,
32,  129.4363,1.9665,0.9371,-147.0000, -0.0006,
33,  129.3911,1.9668,0.9372,-141.9910,-38.0470,
34,  129.2953,1.9695,0.9373,-127.3054,-73.5004,
35,  129.1358,1.9703,0.9363,-103.9443,-103.9452,
36,  129.1276,1.9710,0.9366,-73.4994,-127.3060,
37,  129.0433,1.9685,0.9358,-38.0458,-141.9913,
38,  129.0419,1.9667,0.9377,  0.0006,-147.0000,
39,  129.0355,1.9666,0.9367, 38.0470,-141.9910,
40,  128.9701,1.9676,0.9366, 73.5006,-127.3054,
41,  128.9487,1.9628,0.9371,103.9452,-103.9443,
42,  129.0228,1.9624,0.9377,127.3061,-73.4994,
43,  128.9842,1.9623,0.9372,141.9913,-38.0458,
44,  129.1862,1.9640,0.9373,147.0000,  0.0006,
45,  129.2953,1.9629,0.9369,141.9910, 38.0470,
46,  129.2564,1.9624,0.9370,127.3054, 73.5006,
47,  129.3274,1.9614,0.9373,103.9443,103.9452,
48,  129.4294,1.9594,0.9378, 73.4994,127.3061,
49,  129.5105,1.9635,0.9380, 38.0458,141.9913,

WAFER ID,"HF07754022",
LOT ID,"NMT_QNALD105_630AM5-027",
Cassette,Right,
SLOT,22,
STATUS,"",
DATA TYPE,SE,
