Cassette: ,J900K/ENG_STI_CMPSTI_P1_FM_ Alignt OK
COLLECTION DATE/TIME: ,9/3/2015  13:33:1
PROCESS DATE/TIME: ,9/3/2015  13:33:1
EQUIPMENT: ,
OPERATOR: ,
SHIFT: ,
MACHINE TYPE: ,SpectraFx 100 with Dual FIMS Thin Film Measurement System



WAFER ID,"2015/09/03 13:33 05",
LOT ID,"Q527127Q10",
Cassette,Left,
SLOT,5,
STATUS,"",
DATA TYPE,SE,
RECIPE,"J900K/ENG_STI_CMPSTI_P1_FM",
RCP CNT,1,
MEAS SET,1L_Ox_T>1000,
MATERIAL,"Thermal SiO2",
SITE,1,
RESULT TYPE,1st Thickness,GOF ,
MEAN, 5436.8013,0.8586,
MIN, 5149.2134,0.8416,
MAX, 5585.8174,0.8650,
% STDDEV,  1.7425,  0.5757,
STDDEV,   94.7379,0.0049,
3 % STDDEV,  5.2276,  1.7272,
3 STDDEV,  284.2137,0.0148,
RANGE,  436.6040,0.0233,
Site #,Value,Value, X , Y ,
1, 5347.2393,0.8565,-23.8371,113.4814,
2, 5337.5547,0.8541,  1.4329,113.4814,
3, 5361.6694,0.8525, 26.7029,113.4814,
4, 5422.4932,0.8584, 77.2429, 83.2894,
5, 5479.3843,0.8618, 51.9729, 83.2894,
6, 5488.9321,0.8609, 26.7029, 83.2894,
7, 5462.8955,0.8610,  1.4329, 83.2894,
8, 5459.2783,0.8616,-23.8371, 83.2894,
9, 5421.8560,0.8608,-49.1071, 83.2894,
10, 5333.7466,0.8534,-74.3771, 83.2894,
11, 5335.5850,0.8545,-99.6471, 53.0974,
12, 5435.6426,0.8584,-74.3771, 53.0974,
13, 5422.0977,0.8575,-49.1071, 53.0974,
14, 5387.5898,0.8570,-23.8371, 53.0974,
15, 5377.4658,0.8557,  1.4329, 53.0974,
16, 5466.6289,0.8589, 26.7029, 53.0974,
17, 5543.4756,0.8649, 51.9729, 53.0974,
18, 5535.5884,0.8640, 77.2429, 53.0974,
19, 5417.6289,0.8579,102.5129, 53.0974,
20, 5551.1108,0.8645,127.7829, 22.9054,
21, 5498.7168,0.8624,102.5129, 22.9054,
22, 5564.0552,0.8650, 77.2429, 22.9054,
23, 5477.1953,0.8634, 51.9729, 22.9054,
24, 5356.7563,0.8539, 26.7029, 22.9054,
25, 5174.4619,0.8454,  1.4329, 22.9054,
26, 5190.8477,0.8452,-23.8371, 22.9054,
27, 5377.4194,0.8564,-49.1071, 22.9054,
28, 5424.8389,0.8584,-74.3771, 22.9054,
29, 5434.0059,0.8607,-99.6471, 22.9054,
30, 5473.5400,0.8598,-124.9171, 22.9054,
31, 5454.3984,0.8608,-124.9171, -7.2866,
32, 5436.7002,0.8599,-99.6471, -7.2866,
33, 5418.9058,0.8567,-74.3771, -7.2866,
34, 5355.2490,0.8543,-49.1071, -7.2866,
35, 5188.1592,0.8465,-23.8371, -7.2866,
36, 5237.6689,0.8495,  1.4329, -7.2866,
37, 5312.7886,0.8514, 26.7029, -7.2866,
38, 5482.2651,0.8617, 51.9729, -7.2866,
39, 5559.4370,0.8633, 77.2429, -7.2866,
40, 5524.5361,0.8639,102.5129, -7.2866,
41, 5556.2368,0.8645,127.7829, -7.2866,
42, 5585.8174,0.8631,127.7829,-37.4786,
43, 5493.8784,0.8615,102.5129,-37.4786,
44, 5557.0444,0.8648, 77.2429,-37.4786,
45, 5518.8066,0.8617, 51.9729,-37.4786,
46, 5443.5381,0.8606, 26.7029,-37.4786,
47, 5337.8101,0.8530,  1.4329,-37.4786,
48, 5372.9644,0.8539,-23.8371,-37.4786,
49, 5393.0522,0.8573,-49.1071,-37.4786,
50, 5473.4111,0.8609,-74.3771,-37.4786,
51, 5420.2017,0.8565,-99.6471,-37.4786,
52, 5530.9048,0.8629,-124.9171,-37.4786,
53, 5149.2134,0.8416,-124.9171,-67.6706,
54, 5409.9868,0.8566,-99.6471,-67.6706,
55, 5467.1104,0.8608,-74.3771,-67.6706,
56, 5471.5459,0.8618,-49.1071,-67.6706,
57, 5458.9780,0.8603,-23.8371,-67.6706,
58, 5476.8960,0.8606,  1.4329,-67.6706,
59, 5489.8843,0.8627, 26.7029,-67.6706,
60, 5549.2563,0.8626, 51.9729,-67.6706,
61, 5510.7168,0.8617, 77.2429,-67.6706,
62, 5494.3726,0.8601,102.5129,-67.6706,
63, 5518.8374,0.8631, 77.2429,-97.8626,
64, 5472.2119,0.8591, 51.9729,-97.8626,
65, 5493.6665,0.8605, 26.7029,-97.8626,
66, 5489.2129,0.8610,  1.4329,-97.8626,
67, 5478.7046,0.8605,-23.8371,-97.8626,
68, 5429.4521,0.8584,-49.1071,-97.8626,
69, 5442.0806,0.8586,-74.3771,-97.8626,
70, 5323.3682,0.8496,-99.6471,-97.8626,
71, 5431.4790,0.8567,-49.1071,-128.0546,
72, 5528.3320,0.8625,-23.8371,-128.0546,
73, 5517.0957,0.8613,  1.4329,-128.0546,
74, 5560.2788,0.8617, 26.7029,-128.0546,
75, 5383.9419,0.8561, 51.9729,-128.0546,

WAFER ID,"2015/09/03 13:33 05",
LOT ID,"Q527127Q10",
Cassette,Left,
SLOT,5,
STATUS,"",
DATA TYPE,SE,
RECIPE,"J900K/ENG_STI_CMPSTI_P1_FM",
RCP CNT,1,
MEAS SET,ENG: H10-OX5000/NIT1100/OX75,
MATERIAL,"Thermal SiO2",
SITE,1,
RESULT TYPE,3rd Thickness,2nd Thickness,2nd RI @ 633.0nm,GOF ,
MEAN, 1204.6320,  910.5485,2.0220,0.8899,
MIN,  889.2961,  899.2198,2.0211,0.8663,
MAX, 1420.6979,  925.8574,2.0236,0.8956,
% STDDEV,  7.8782,  0.8184,  0.0236,  0.5392,
STDDEV,   94.9035,    7.4523,0.0005,0.0048,
3 % STDDEV, 23.6346,  2.4553,  0.0709,  1.6175,
3 STDDEV,  284.7104,   22.3570,0.0014,0.0144,
RANGE,  531.4017,   26.6376,0.0025,0.0293,
Site #,Value,Value,Value,Value, X , Y ,
1, 1048.4901,  904.8419,2.0215,0.8792,-24.0144,113.4778,
2, 1036.8401,  901.0889,2.0220,0.8819,  1.2556,113.4778,
3, 1076.3901,  900.8695,2.0222,0.8888, 26.5256,113.4778,
4, 1120.0198,  901.9317,2.0216,0.8881, 77.0656, 83.2858,
5, 1183.5027,  899.9938,2.0216,0.8915, 51.7956, 83.2858,
6, 1222.4458,  899.2198,2.0216,0.8928, 26.5256, 83.2858,
7, 1213.7119,  900.1215,2.0214,0.8928,  1.2556, 83.2858,
8, 1214.9585,  902.9181,2.0212,0.8928,-24.0144, 83.2858,
9, 1143.6501,  905.6608,2.0217,0.8925,-49.2844, 83.2858,
10, 1023.1476,  910.0908,2.0222,0.8768,-74.5544, 83.2858,
11, 1023.9167,  916.4532,2.0225,0.8796,-99.8244, 53.0938,
12, 1161.8877,  910.6046,2.0219,0.8904,-74.5544, 53.0938,
13, 1204.5527,  905.3422,2.0216,0.8934,-49.2844, 53.0938,
14, 1237.5979,  902.2906,2.0211,0.8912,-24.0144, 53.0938,
15, 1226.9164,  900.2108,2.0214,0.8926,  1.2556, 53.0938,
16, 1289.1771,  899.2280,2.0216,0.8928, 26.5256, 53.0938,
17, 1309.6334,  900.4423,2.0215,0.8925, 51.7956, 53.0938,
18, 1221.4777,  902.7015,2.0217,0.8930, 77.0656, 53.0938,
19, 1114.5419,  906.7613,2.0221,0.8880,102.3356, 53.0938,
20, 1344.6307,  909.7820,2.0220,0.8956,127.6056, 22.9018,
21, 1159.9453,  908.1281,2.0218,0.8911,102.3356, 22.9018,
22, 1293.5331,  904.9165,2.0216,0.8949, 77.0656, 22.9018,
23, 1291.7056,  902.4863,2.0212,0.8917, 51.7956, 22.9018,
24, 1212.7516,  901.3008,2.0216,0.8910, 26.5256, 22.9018,
25, 1081.2883,  901.4882,2.0219,0.8872,  1.2556, 22.9018,
26, 1068.1506,  904.0088,2.0216,0.8842,-24.0144, 22.9018,
27, 1224.2894,  907.5485,2.0218,0.8924,-49.2844, 22.9018,
28, 1185.4263,  911.5945,2.0219,0.8924,-74.5544, 22.9018,
29, 1122.9119,  917.9518,2.0222,0.8866,-99.8244, 22.9018,
30, 1241.2974,  924.5983,2.0226,0.8912,-125.0944, 22.9018,
31, 1193.1282,  924.2509,2.0225,0.8896,-125.0944, -7.2902,
32, 1124.5581,  918.6688,2.0224,0.8880,-99.8244, -7.2902,
33, 1187.8883,  913.9814,2.0220,0.8915,-74.5544, -7.2902,
34, 1202.1193,  910.3312,2.0217,0.8900,-49.2844, -7.2902,
35, 1065.2068,  907.0938,2.0214,0.8777,-24.0144, -7.2902,
36, 1177.1603,  905.4468,2.0217,0.8916,  1.2556, -7.2902,
37, 1189.9725,  905.3063,2.0218,0.8919, 26.5256, -7.2902,
38, 1305.3324,  906.1647,2.0213,0.8925, 51.7956, -7.2902,
39, 1315.7212,  906.8922,2.0217,0.8927, 77.0656, -7.2902,
40, 1212.9973,  907.9738,2.0218,0.8911,102.3356, -7.2902,
41, 1339.9984,  905.9288,2.0216,0.8945,127.6056, -7.2902,
42, 1420.6979,  903.2754,2.0217,0.8948,127.6056,-37.4822,
43, 1172.9246,  907.9056,2.0220,0.8914,102.3356,-37.4822,
44, 1283.0261,  908.1828,2.0218,0.8932, 77.0656,-37.4822,
45, 1332.6726,  907.4263,2.0218,0.8933, 51.7956,-37.4822,
46, 1314.6710,  908.5018,2.0213,0.8906, 26.5256,-37.4822,
47, 1205.1864,  908.8311,2.0216,0.8901,  1.2556,-37.4822,
48, 1227.6940,  910.4205,2.0217,0.8899,-24.0144,-37.4822,
49, 1196.0006,  912.8045,2.0221,0.8931,-49.2844,-37.4822,
50, 1205.2367,  916.1407,2.0220,0.8913,-74.5544,-37.4822,
51, 1103.4465,  919.8007,2.0225,0.8833,-99.8244,-37.4822,
52, 1352.2640,  923.0611,2.0224,0.8916,-125.0944,-37.4822,
