TH_SI,TH_BOX,X,Y
120.99,259.14,139.997,-0.0157293
119.34,259.64,139.999,-0.0157293
117.74,260.34,140,-0.0157293
118.93,257.02,140.001,-0.0157293
118.72,257.45,140.003,-0.0157293
119.07,260.15,140.007,-0.0144185
118.84,259.09,140.005,-0.0144185
118.66,258.47,140.004,-0.0144185
119.09,257.44,140.003,-0.0144185
117.91,259.32,140.001,-0.0144185
119.57,258.13,140,-0.0144185
120.15,259.99,139.999,-0.0144185
121.19,260.91,139.997,-0.0144185
121.18,260.96,139.996,-0.0144185
121.62,260.74,139.995,-0.0144185
121.69,260.62,139.993,-0.0144185
123.93,259.22,139.991,-0.0131077
123.42,259.03,139.992,-0.0131077
122.72,259.68,139.993,-0.0131077
121.7,260.54,139.995,-0.0131077
121.74,259.75,139.996,-0.0131077
121.22,259.19,139.997,-0.0131077
120.33,259.58,139.999,-0.0131077
119.89,258.65,140,-0.0131077
119.69,258.47,140.001,-0.0131077
119.29,258.34,140.003,-0.0131077
118.63,259.39,140.004,-0.0131077
119.03,259.77,140.005,-0.0131077
118.06,261.02,140.007,-0.0131077
118.51,260.39,140.008,-0.0131077
118.18,260.55,140.009,-0.0131077
118.29,258.51,140.01,-0.0117969
118.19,259.04,140.009,-0.0117969
118.72,258.89,140.008,-0.0117969
119.76,258.03,140.007,-0.0117969
120.55,258.43,140.005,-0.0117969
120.15,259.72,140.004,-0.0117969
120.67,258.89,140.003,-0.0117969
120.18,259.25,140.001,-0.0117969
120.26,258.9,140,-0.0117969
119.79,259.01,139.999,-0.0117969
119.82,259.7,139.997,-0.0117969
120.82,260.12,139.996,-0.0117969
121.53,260.71,139.995,-0.0117969
122.53,260.52,139.993,-0.0117969
123.68,260.16,139.992,-0.0117969
124.17,260.81,139.991,-0.0117969
124.79,259.88,139.99,-0.0117969
121.61,260.42,139.988,-0.0104862
122.72,261.63,139.99,-0.0104862
124.93,259.3,139.991,-0.0104862
123.83,259.4,139.992,-0.0104862
122.27,259.3,139.993,-0.0104862
120.9,259.38,139.995,-0.0104862
119.94,259.03,139.996,-0.0104862
119.54,258.62,139.997,-0.0104862
118.99,258.78,139.999,-0.0104862
119.34,259.64,140,-0.0104862
119.31,261.31,140.001,-0.0104862
120.02,261.26,140.003,-0.0104862
120.67,260.95,140.004,-0.0104862
120.33,260.81,140.005,-0.0104862
119.64,260.55,140.007,-0.0104862
118.21,260.9,140.008,-0.0104862
118.31,259.4,140.009,-0.0104862
117.75,259.11,140.01,-0.0104862
117.04,259.92,140.012,-0.0104862
118.37,259.25,140.013,-0.0091754
117.46,259.53,140.012,-0.0091754
116.88,260.29,140.01,-0.0091754
117.43,261.25,140.009,-0.0091754
118.71,260.08,140.008,-0.0091754
119.31,260.82,140.007,-0.0091754
119.52,261.4,140.005,-0.0091754
119.95,260.1,140.004,-0.0091754
119.88,259.86,140.003,-0.0091754
119.34,259.26,140.001,-0.0091754
119.17,257.81,140,-0.0091754
118.96,257.32,139.999,-0.0091754
119.76,256.23,139.997,-0.0091754
120.15,256.95,139.996,-0.0091754
121.35,257.59,139.995,-0.0091754
122.36,258.77,139.993,-0.0091754
123.03,259.28,139.992,-0.0091754
122.86,260.35,139.991,-0.0091754
121.13,260.52,139.99,-0.0091754
119.83,259.3,139.988,-0.0091754
118.44,259.71,139.987,-0.0091754
118.82,258.53,139.987,-0.00786463
120.36,257.28,139.988,-0.00786463
121.76,256.86,139.99,-0.00786463
122.09,257.15,139.991,-0.00786463
121.45,258.64,139.992,-0.00786463
121.11,258.71,139.993,-0.00786463
120.12,260.13,139.995,-0.00786463
120.01,258.56,139.996,-0.00786463
119.32,258.89,139.997,-0.00786463
119.04,259.16,139.999,-0.00786463
120.08,257.66,140,-0.00786463
120.32,257.45,140.001,-0.00786463
120.17,258.21,140.003,-0.00786463
119.52,259.14,140.004,-0.00786463
119.19,258.68,140.005,-0.00786463
118.61,258.65,140.007,-0.00786463
118.38,259.05,140.008,-0.00786463
117.68,258.25,140.009,-0.00786463
118.44,257.24,140.01,-0.00786463
118,257.62,140.012,-0.00786463
118.57,258.32,140.013,-0.00786463
120.06,258.73,140.014,-0.00655386
118.32,259.77,140.013,-0.00655386
118.08,258.75,140.012,-0.00655386
117.88,258,140.01,-0.00655386
117.69,257.24,140.009,-0.00655386
116.61,260.1,140.008,-0.00655386
117.72,258.61,140.007,-0.00655386
118.25,259.98,140.005,-0.00655386
