Tsi,Tbox,X,Y
3056.18,7260.29,-24.5769375,-147.4621875
3052.01,7273.14,-12.28846875,-147.4621875
3054.6,7270.31,0,-147.4621875
3055.23,7271.52,12.28846875,-147.4621875
3055.01,7266.68,24.5769375,-147.4621875
3055.61,7267.38,61.4424375,-135.1734375
3053.93,7274.35,49.153875,-135.1734375
3052.46,7276.17,36.86540625,-135.1734375
3055.75,7266.76,24.5769375,-135.1734375
3053.1,7269.35,12.28846875,-135.1734375
3056.15,7267.7,0,-135.1734375
3053.22,7266.2,-12.28846875,-135.1734375
3055.54,7262.98,-24.5769375,-135.1734375
3055.49,7263.79,-36.86540625,-135.1734375
3055.37,7269.85,-49.153875,-135.1734375
3054.7,7268.33,-61.4424375,-135.1734375
3054.88,7262.15,-86.019375,-122.8846875
3054.44,7269.67,-73.73090625,-122.8846875
3052.83,7267.32,-61.4424375,-122.8846875
3055.87,7269.93,-49.153875,-122.8846875
3057.32,7262.69,-36.86540625,-122.8846875
3054.04,7263.8,-24.5769375,-122.8846875
3056.54,7265.61,-12.28846875,-122.8846875
3054.77,7269.21,0,-122.8846875
3055.04,7268.98,12.28846875,-122.8846875
3055.89,7264.05,24.5769375,-122.8846875
3053.86,7269.34,36.86540625,-122.8846875
3054.01,7269.64,49.153875,-122.8846875
3056.26,7266.87,61.4424375,-122.8846875
3054.7,7260.89,73.73090625,-122.8846875
3055.3,7267.19,86.019375,-122.8846875
3055.71,7267.05,98.308125,-110.5959375
3055.25,7265.65,86.019375,-110.5959375
3053.51,7266.26,73.73090625,-110.5959375
3054.85,7267.41,61.4424375,-110.5959375
3056.46,7266.79,49.153875,-110.5959375
3052.56,7270.58,36.86540625,-110.5959375
3054.69,7266.02,24.5769375,-110.5959375
3055.47,7271.91,12.28846875,-110.5959375
3054.57,7270.23,0,-110.5959375
3054.65,7267.84,-12.28846875,-110.5959375
3053.08,7262.88,-24.5769375,-110.5959375
3056.2,7267.21,-36.86540625,-110.5959375
3053.34,7272.86,-49.153875,-110.5959375
3056.02,7266.76,-61.4424375,-110.5959375
3055.11,7265.27,-73.73090625,-110.5959375
3056.34,7261.93,-86.019375,-110.5959375
3053.77,7268.43,-98.308125,-110.5959375
3055.92,7265.41,-110.5959375,-98.308125
3054.62,7268.14,-98.308125,-98.308125
3053.2,7271.81,-86.019375,-98.308125
3055.28,7265.53,-73.73090625,-98.308125
3054.09,7273.86,-61.4424375,-98.308125
3053.11,7275.54,-49.153875,-98.308125
3055.69,7271.16,-36.86540625,-98.308125
3054.79,7261.52,-24.5769375,-98.308125
3054.54,7270.54,-12.28846875,-98.308125
3055.43,7268.5,0,-98.308125
3054.02,7269.66,12.28846875,-98.308125
3056.63,7266.68,24.5769375,-98.308125
3055.71,7265.54,36.86540625,-98.308125
3056.07,7263.88,49.153875,-98.308125
3054.54,7267.91,61.4424375,-98.308125
3054.34,7266.15,73.73090625,-98.308125
3054.99,7268.51,86.019375,-98.308125
3055.92,7269.12,98.308125,-98.308125
3052.71,7272.19,110.5959375,-98.308125
3052.35,7271.1,122.8846875,-86.019375
3053.96,7271.33,110.5959375,-86.019375
3054.61,7273.37,98.308125,-86.019375
3053.69,7271.97,86.019375,-86.019375
3055.48,7268.97,73.73090625,-86.019375
3056.59,7268.63,61.4424375,-86.019375
3055.13,7264.54,49.153875,-86.019375
3056.18,7266.14,36.86540625,-86.019375
3054.94,7270.88,24.5769375,-86.019375
3058.26,7264.76,12.28846875,-86.019375
3055.64,7272.76,0,-86.019375
3051.84,7274.31,-12.28846875,-86.019375
3056.88,7266.23,-24.5769375,-86.019375
3055.49,7267.2,-36.86540625,-86.019375
3056.01,7272.8,-49.153875,-86.019375
3052.8,7273.99,-61.4424375,-86.019375
3054.69,7267.03,-73.73090625,-86.019375
3055.94,7275.83,-86.019375,-86.019375
3054.55,7272.88,-98.308125,-86.019375
3055.85,7267.78,-110.5959375,-86.019375
3055.03,7265.11,-122.8846875,-86.019375
3054.79,7265.71,-122.8846875,-73.73090625
3054.84,7268.08,-110.5959375,-73.73090625
3055.23,7268.93,-98.308125,-73.73090625
3055.23,7274.83,-86.019375,-73.73090625
3055.66,7266.93,-73.73090625,-73.73090625
3055.43,7268.02,-61.4424375,-73.73090625
3055.51,7268.42,-49.153875,-73.73090625
3058.78,7262.85,-36.86540625,-73.73090625
3053.13,7269.19,-24.5769375,-73.73090625
3055.49,7267.73,-12.28846875,-73.73090625
3057.81,7269.03,0,-73.73090625
3055.71,7265.64,12.28846875,-73.73090625
3054.7,7268.61,24.5769375,-73.73090625
3055.05,7268.98,36.86540625,-73.73090625
3056.16,7265.19,49.153875,-73.73090625
3056.03,7268.02,61.4424375,-73.73090625
3055.27,7266.29,73.73090625,-73.73090625
3054.23,7267.13,86.019375,-73.73090625
3054.59,7268.54,98.308125,-73.73090625
3053.77,7270.23,110.5959375,-73.73090625
3056.13,7264.37,122.8846875,-73.73090625
3056.96,7265.57,135.1734375,-61.4424375
3054.02,7267.25,122.8846875,-61.4424375
3055.04,7264.67,110.5959375,-61.4424375
3055.49,7267.06,98.308125,-61.4424375
3054.01,7265.47,86.019375,-61.4424375
3056.51,7262.76,73.73090625,-61.4424375
3054.29,7269.28,61.4424375,-61.4424375
3056.98,7267.69,49.153875,-61.4424375
3054.41,7268.79,36.86540625,-61.4424375
3053.61,7269.06,24.5769375,-61.4424375
3055.62,7265.82,12.28846875,-61.4424375
3054.83,7268.29,0,-61.4424375
3052.16,7273.21,-12.28846875,-61.4424375
3054.59,7268.53,-24.5769375,-61.4424375
3052.84,7275.15,-36.86540625,-61.4424375
3054.92,7268.33,-49.153875,-61.4424375
3055.44,7267.01,-61.4424375,-61.4424375
3055.73,7269.13,-73.73090625,-61.4424375
3056.07,7268.24,-86.019375,-61.4424375
3054.12,7273.17,-98.308125,-61.4424375
3053.01,7273.26,-110.5959375,-61.4424375
3054.67,7266.75,-122.8846875,-61.4424375
3055.44,7263.3,-135.1734375,-61.4424375
3055.2,7264.57,-135.1734375,-49.153875
3054.47,7262.28,-122.8846875,-49.153875
3053.33,7269.19,-110.5959375,-49.153875
3052.11,7274.96,-98.308125,-49.153875
3055.44,7262.77,-86.019375,-49.153875
3053.62,7270.49,-73.73090625,-49.153875
3054.88,7271.33,-61.4424375,-49.153875
3054.46,7273.51,-49.153875,-49.153875
3054.59,7266.82,-36.86540625,-49.153875
3056.37,7271.3,-24.5769375,-49.153875
3054.13,7272.68,-12.28846875,-49.153875
3057.19,7264.1,0,-49.153875
3056.59,7261.37,12.28846875,-49.153875
3054.99,7264.87,24.5769375,-49.153875
3056.35,7264.56,36.86540625,-49.153875
3055.35,7267.68,49.153875,-49.153875
3054.53,7270.26,61.4424375,-49.153875
3052.76,7272.63,73.73090625,-49.153875
3055.69,7271.02,86.019375,-49.153875
3054.14,7272.84,98.308125,-49.153875
3053.86,7268.23,110.5959375,-49.153875
3053.17,7268.74,122.8846875,-49.153875
3055.83,7268.18,135.1734375,-49.153875
3057.46,7268.84,135.1734375,-36.86540625
3055.83,7268.98,122.8846875,-36.86540625
3054.06,7269.17,110.5959375,-36.86540625
3054.89,7269.91,98.308125,-36.86540625
3053.34,7269.84,86.019375,-36.86540625
3054.25,7266.81,73.73090625,-36.86540625
3055.34,7266.95,61.4424375,-36.86540625
3053.43,7271.6,49.153875,-36.86540625
3056.2,7269.32,36.86540625,-36.86540625
3054.84,7267.86,24.5769375,-36.86540625
3054.94,7262.37,12.28846875,-36.86540625
3055.87,7266.53,0,-36.86540625
3055.24,7268.68,-12.28846875,-36.86540625
3052.79,7271.27,-24.5769375,-36.86540625
3058.05,7260.66,-36.86540625,-36.86540625
3054.83,7272.51,-49.153875,-36.86540625
3054.98,7271.58,-61.4424375,-36.86540625
3052.83,7267.64,-73.73090625,-36.86540625
3055.69,7262.92,-86.019375,-36.86540625
3054.96,7263.68,-98.308125,-36.86540625
3054.89,7263.79,-110.5959375,-36.86540625
3054.71,7272.17,-122.8846875,-36.86540625
3055.21,7266.83,-135.1734375,-36.86540625
3055.28,7266.59,-147.4621875,-24.5769375
3053.17,7268.96,-135.1734375,-24.5769375
3052.35,7271.96,-122.8846875,-24.5769375
3056.83,7264.61,-110.5959375,-24.5769375
3053.93,7262.63,-98.308125,-24.5769375
3053.95,7269.33,-86.019375,-24.5769375
3056.97,7263.44,-73.73090625,-24.5769375
3054.68,7268.13,-61.4424375,-24.5769375
3055.62,7271.63,-49.153875,-24.5769375
3057.21,7261.19,-36.86540625,-24.5769375
3051.85,7268.91,-24.5769375,-24.5769375
3056.5,7269.51,-12.28846875,-24.5769375
3055,7265.33,0,-24.5769375
3055.93,7265.01,12.28846875,-24.5769375
3051.84,7272.97,24.5769375,-24.5769375
3054.06,7273.28,36.86540625,-24.5769375
3055.04,7269.2,49.153875,-24.5769375
3054.68,7270.38,61.4424375,-24.5769375
3056.85,7266.42,73.73090625,-24.5769375
3054.28,7263.09,86.019375,-24.5769375
3055.64,7266.36,98.308125,-24.5769375
3053.98,7268.52,110.5959375,-24.5769375
3054.16,7267.27,122.8846875,-24.5769375
3055.12,7267.68,135.1734375,-24.5769375
3053.84,7270.73,147.4621875,-24.5769375
3055.18,7266.85,147.4621875,-12.28846875
3055.59,7264.75,135.1734375,-12.28846875
3057.51,7264.42,122.8846875,-12.28846875
3055.11,7268.03,110.5959375,-12.28846875
3055.51,7261.29,98.308125,-12.28846875
3055.93,7264.96,86.019375,-12.28846875
3055.14,7265.75,73.73090625,-12.28846875
3055.3,7265.56,61.4424375,-12.28846875
3056.15,7268.75,49.153875,-12.28846875
3054.09,7273.69,36.86540625,-12.28846875
3052.95,7269.28,24.5769375,-12.28846875
3055.25,7266.05,12.28846875,-12.28846875
3057.49,7264.38,0,-12.28846875
3055.09,7270.76,-12.28846875,-12.28846875
3055.42,7266.68,-24.5769375,-12.28846875
3055.45,7266.81,-36.86540625,-12.28846875
3055.65,7272.28,-49.153875,-12.28846875
3054.77,7266.23,-61.4424375,-12.28846875
3056.82,7263.44,-73.73090625,-12.28846875
3055.58,7265.1,-86.019375,-12.28846875
3056.54,7264.23,-98.308125,-12.28846875
3054.48,7269.02,-110.5959375,-12.28846875
3055.44,7266.93,-122.8846875,-12.28846875
3055.51,7269.71,-135.1734375,-12.28846875
3056.66,7266.65,-147.4621875,-12.28846875
3055.58,7267.91,-147.4621875,0
3052.04,7269.55,-135.1734375,0
3055.55,7264.66,-122.8846875,0
3053.25,7265.36,-110.5959375,0
3056.06,7263.5,-98.308125,0
3055.23,7262.35,-86.019375,0
3053.2,7268.84,-73.73090625,0
3056.39,7268.15,-61.4424375,0
3054.93,7273.76,-49.153875,0
3053.53,7272.19,-36.86540625,0
3054.42,7267.9,-24.5769375,0
3054.44,7264.32,-12.28846875,0
3058.05,7260.56,0,0
3052.77,7263.19,12.28846875,0
3055.74,7269.28,24.5769375,0
3055.07,7273.01,36.86540625,0
3055.87,7268.08,49.153875,0
3057.18,7260.58,61.4424375,0
3055.82,7263.49,73.73090625,0
3055.65,7264.74,86.019375,0
3056.42,7257.58,98.308125,0
3054.74,7264.79,110.5959375,0
3053.33,7268.82,122.8846875,0
3055.19,7268.44,135.1734375,0
3055.82,7266.69,147.4621875,0
3056.17,7269.26,147.4621875,12.28846875
3054.44,7273.24,135.1734375,12.28846875
3056.23,7265.47,122.8846875,12.28846875
3053.06,7269.13,110.5959375,12.28846875
3055.83,7263.54,98.308125,12.28846875
3056.11,7267.5,86.019375,12.28846875
3054.47,7261.47,73.73090625,12.28846875
3055.76,7265.68,61.4424375,12.28846875
3055.48,7267.27,49.153875,12.28846875
3056.99,7268.1,36.86540625,12.28846875
3054.09,7272.42,24.5769375,12.28846875
3055,7263.5,12.28846875,12.28846875
3055,7265.98,0,12.28846875
3056.93,7260.61,-12.28846875,12.28846875
3054.78,7263.31,-24.5769375,12.28846875
3056.99,7266.17,-36.86540625,12.28846875
3053.86,7272.51,-49.153875,12.28846875
3053.88,7270.56,-61.4424375,12.28846875
3053.73,7264.22,-73.73090625,12.28846875
3054.37,7263.82,-86.019375,12.28846875
3054.8,7264.75,-98.308125,12.28846875
3056.95,7260.4,-110.5959375,12.28846875
3055.6,7265.61,-122.8846875,12.28846875
3054.96,7266.06,-135.1734375,12.28846875
3054.4,7271.91,-147.4621875,12.28846875
3055.34,7265.4,-147.4621875,24.5769375
3055.8,7265.94,-135.1734375,24.5769375
3055.55,7267.3,-122.8846875,24.5769375
3055.61,7265.54,-110.5959375,24.5769375
3054.95,7266.56,-98.308125,24.5769375
3055.77,7268.17,-86.019375,24.5769375
3055.29,7265.91,-73.73090625,24.5769375
3052.65,7272.95,-61.4424375,24.5769375
3053.49,7277.59,-49.153875,24.5769375
3056.47,7269.46,-36.86540625,24.5769375
3055.73,7265.94,-24.5769375,24.5769375
3055.27,7265.02,-12.28846875,24.5769375
3053.6,7267.25,0,24.5769375
3056.29,7266.25,12.28846875,24.5769375
3053.53,7275.28,24.5769375,24.5769375
3058.74,7265.16,36.86540625,24.5769375
3055.04,7268.94,49.153875,24.5769375
3057.01,7269,61.4424375,24.5769375
3056.17,7266.64,73.73090625,24.5769375
3052.53,7271.82,86.019375,24.5769375
3054.74,7269.33,98.308125,24.5769375
3054.88,7267.32,110.5959375,24.5769375
3056.56,7265.65,122.8846875,24.5769375
3055.2,7266.12,135.1734375,24.5769375
3055.71,7267.47,147.4621875,24.5769375
3055.7,7266.17,135.1734375,36.86540625
3054.03,7270.32,122.8846875,36.86540625
3055.62,7269.4,110.5959375,36.86540625
3054.95,7267.94,98.308125,36.86540625
3055.77,7267.74,86.019375,36.86540625
3055.01,7268.38,73.73090625,36.86540625
3053.52,7270.03,61.4424375,36.86540625
3055.09,7272.13,49.153875,36.86540625
3057.25,7268.28,36.86540625,36.86540625
3053.57,7271.37,24.5769375,36.86540625
3055.36,7266.64,12.28846875,36.86540625
3056.59,7266.13,0,36.86540625
3056.47,7261.45,-12.28846875,36.86540625
3053.34,7266.34,-24.5769375,36.86540625
3055.72,7268.43,-36.86540625,36.86540625
3052.27,7270.01,-49.153875,36.86540625
3056.07,7270.12,-61.4424375,36.86540625
3054.1,7266.57,-73.73090625,36.86540625
3053.79,7268.29,-86.019375,36.86540625
3056.03,7270.06,-98.308125,36.86540625
3054.69,7264.37,-110.5959375,36.86540625
3054.68,7267.12,-122.8846875,36.86540625
3055.98,7264.23,-135.1734375,36.86540625
3054.06,7269.89,-135.1734375,49.153875
3054.82,7266.62,-122.8846875,49.153875
