thickness,x,y
955.18,0,55
973.31,0,80.001
971.1,0,90
965.63,0,95
948.32,0,102
1003.43,0,123
1034.16,0,130
1004.52,0,136
961.82,0,139
911.25,0,142
873.15,0,145
874.97,0,145.5
853.5,0,146
852.62,0,146.5
841.51,0,147
850.21,0,147.5
824.71,0,148
810.8,0,148.5
876.22,55,133.96
879.7,102.531,102.529
922.46,100.41,100.41
989.69,98.29,98.29
1018.36,96.16,96.16
1029.66,91.92,91.92
975.4,86.97,86.97
927.35,77.91,77.91
922.31,49.5,49.5
936.83,45,-0.001
944.68,55,0
945.32,80,0
954.35,90,0
970.29,95,0
972.76,102,0
988.13,123,0
1025.74,133,0
1013.12,136,0
960.21,139,0
902.43,142,0
834.72,145,0
828.74,145.5,0
821.16,146,0
811.36,146.5,0
799.34,147,0
792.26,147.5,0
786.61,148,0
759.03,148.5,0
899.79,133.96,-55.49
941.03,102.53,-102.53
988.76,100.41,-100.41
1009.29,98.29,-98.29
1033.03,96.159,-96.16
1018.34,94.044,-94.044
1004.64,91.92,-91.92
957.76,77.91,-77.91
926.61,49.5,-49.5
887.98,21.21,-21.21
939.8,0,-45
916,-21.21,-21.21
947.53,-49.5,-49.5
935.26,0,-55
974.11,0,-80
989.67,0,-90
977.85,0,-95
971.76,0,-102
944.47,0,-123
996.65,0,-130
1008.23,0,-133
912.94,19.844,-142.996
965.71,0,-139
922.66,0,-142
862.38,0,-145
865.59,0,-145.5
882.02,0,-146
869.35,0,-146.5
875.72,0,-147
875.48,0,-147.5
813.35,0,-148
,0,-148.5
867.25,-12.257,-144.163
845.16,-55.49,-133.96
874.5,-102.53,-102.53
954.26,-100.41,-100.41
1009.28,-98.29,-98.29
1050.16,-96.16,-96.16
1031.37,-91.92,-91.92
984.71,-86.97,-86.97
964.02,-77.91,-77.91
949.07,-80,0
985.13,-90,0
988.55,-95.001,0
982.81,-102,0
980.37,-123,0
1005.73,-133,0
982.91,-136,0
972.27,-139,0
915.93,-142,0
871.16,-145,0
867.57,-145.5,0
863.65,-146,0
849.99,-146.5,0
846.53,-147,0
859.45,-147.5,0
840.73,-148,0
838.72,-148.5,0
903.97,-133.96,55.49
887.44,-102.53,102.53
933.77,-100.409,100.409
988.8,-98.29,98.29
1014.5,-96.16,96.16
1003.99,-94.045,94.045
1016.46,-91.92,91.92
941.67,-77.91,77.91
946.08,-49.5,49.5
924.94,-55,0
937.51,-45,0
902.45,-21.21,21.21
897.4,-10.6,10.6
880.04,0,10
874.19,0,0
886.83,-9.999,-0.001
855.22,0,-10
858.27,10.6,-10.6
867.36,10,0
883.87,21.21,21.21
964.2,0,45
