thickness,x,y
2251.9189,-130.7875,-13.8829
2251.5564,-130.7875,11.7821
2208.6997,-130.7875,37.4471
2383.1138,-106.6775,37.4471
2332.9092,-106.6775,63.1121
2422.1973,-82.5675,63.1121
2325.5396,-82.5675,88.7771
2406.0356,-58.4575,88.7771
2448.9619,-34.3475,88.7771
2315.4043,-34.3475,114.4421
2328.3313,-10.2375,114.4421
2478.8252,-10.2375,88.7771
2345.0383,13.8725,114.4421
2476.3745,13.8725,88.7771
2476.5544,37.9825,88.7771
2427.7793,62.0925,88.7771
2520.4729,62.0925,63.1121
2474.4634,86.2025,63.1121
2530.0989,86.2025,37.4471
2443.7368,110.3125,37.4471
2470.6836,110.3125,11.7821
2468.9424,110.3125,-13.8829
2465.3687,110.3125,-39.5479
2413.7222,110.3125,-65.2129
2492.4375,86.2025,-65.2129
2438.5093,86.2025,-90.8779
2501.6799,62.0925,-90.8779
2393.7949,62.0925,-116.5429
2426.1799,37.9825,-116.5429
2429.6826,13.8725,-116.5429
2294.7241,13.8725,-142.2079
2286.6199,-10.2375,-142.2079
2424.0203,-10.2375,-116.5429
2247.8384,-34.3475,-142.2079
2400.5681,-34.3475,-116.5429
2324.9412,-58.4575,-116.5429
2275.1729,-82.5675,-116.5429
2379.6289,-82.5675,-90.8779
2267.8325,-106.6775,-90.8779
2354.0886,-106.6775,-65.2129
2167.0989,-130.7875,-65.2129
2231.4753,-130.7875,-39.5479
2421.4834,-106.6775,-13.8829
2409.4612,-106.6775,11.7821
2495.0583,-82.5675,37.4471
2478.2749,-58.4575,63.1121
2476.6648,-34.3475,63.1121
2487.0723,-10.2375,63.1121
2488.825,13.8725,63.1121
2506.5339,37.9825,63.1121
2558.9788,62.0925,37.4471
2570.4475,86.2025,11.7821
2559.749,86.2025,-13.8829
2560.5908,86.2025,-39.5479
2552.6326,62.0925,-65.2129
2513.2178,37.9825,-90.8779
2541.9863,13.8725,-90.8779
2526.9705,-10.2375,-90.8779
2492.9746,-34.3475,-90.8779
2438.7749,-58.4575,-90.8779
2479.7661,-82.5675,-65.2129
2394.7969,-106.6775,-39.5479
2522.6472,-82.5675,-13.8829
2509.1592,-82.5675,11.7821
2492.3345,-58.4575,11.7821
2483.0537,-58.4575,37.4471
2471.4265,-34.3475,37.4471
2485.9553,-10.2375,37.4471
2499.6343,13.8725,37.4471
2514.8733,37.9825,37.4471
2532.519,37.9825,11.7821
2570.5798,62.0925,11.7821
2562.3306,62.0925,-13.8829
2568.5518,62.0925,-39.5479
2538.0679,37.9825,-39.5479
2551.3828,37.9825,-65.2129
2543.3975,13.8725,-65.2129
2520.9465,-10.2375,-65.2129
2515.0217,-34.3475,-65.2129
2520.968,-58.4575,-65.2129
2536.4785,-82.5675,-39.5479
2528.084,-58.4575,-39.5479
2500.6147,-58.4575,-13.8829
2479.9607,-34.3475,11.7821
2421.6743,-10.2375,11.7821
2456.4092,13.8725,11.7821
2536.4937,37.9825,-13.8829
2536.0317,13.8725,-39.5479
2491.114,-34.3475,-39.5479
2500.9016,-10.2375,-39.5479
2495.6355,-34.3475,-13.8829
2430.6829,13.8725,-13.8829
2392.7222,-10.2375,-13.8829
